pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_eqt,st_mass,st_rad,st_teff,sy_dist,disc_year
"Kepler-260 b","Kepler-260",8.18739900000,0.0750000000,,,,0.17900000,,,0.862000,5250.00,627.36500000,2014
"Kepler-268 b","Kepler-268",25.93413800000,0.1800000000,,,,0.22700000,,,1.274000,6081.00,851.87000000,2014
"K2-384 f","K2-384",13.62749000000,,,,,0.19823390,,0.330000,0.348000,3623.00,82.66030000,2022
"K2-384 d","K2-384",6.67958200000,,,,,0.12418614,,0.330000,0.348000,3623.00,82.66030000,2022
"K2-384 c","K2-384",4.19476600000,,,,,0.10625409,,0.330000,0.348000,3623.00,82.66030000,2022
"K2-384 e","K2-384",9.71504300000,,,,,0.11999307,,0.330000,0.348000,3623.00,82.66030000,2022
"K2-385 b","K2-385",2.38086700000,,,,,0.13730062,,0.927000,0.761000,4844.00,420.81900000,2022
"Kepler-1736 b","Kepler-1736",37.81029892000,,,,,0.34584640,,0.976000,0.973000,6085.00,1430.00000000,2021
"K2-386 b","K2-386",7.47322300000,,,,,0.20697689,,0.911000,0.970000,5749.00,428.78500000,2022
"Kepler-774 b","Kepler-774",11.08957230000,,,,,0.28280846,,1.570000,2.420000,6403.00,917.80400000,2016
"Kepler-772 b","Kepler-772",12.99207337000,,,,,0.16236952,,0.980000,1.110000,5714.00,1130.21000000,2016
"K2-268 d","K2-268",4.52859800000,,,,,0.13292913,888.00,0.840000,0.780000,5106.00,327.78300000,2021
"K2-268 f","K2-268",26.27057000000,,,,,0.19894762,492.00,0.840000,0.780000,5106.00,327.78300000,2021
"K2-268 e","K2-268",6.13124300000,,,,,0.11865486,801.00,0.840000,0.780000,5106.00,327.78300000,2021
"K2-393 b","K2-393",10.41318100000,,,,,0.20983175,,0.881000,1.071000,5678.00,265.91400000,2022
"K2-394 b","K2-394",5.09571700000,,,,,0.15095039,,0.478000,0.631000,4938.00,98.01520000,2022
"Kepler-119 b","Kepler-119",2.42208200000,0.0350000000,,,,0.32100000,,,0.839000,5595.00,701.99600000,2014
"11 UMi b","11 UMi",516.21997000000,1.5300000000,0.080000,,14.74000000,,,2.780000,29.790000,4213.00,125.32100000,2009
"14 And b","14 And",186.76000000000,0.7750000000,0.000000,,3.55900000,,,1.780000,11.550000,4888.00,75.43920000,2008
"14 Her b","14 Her",,2.8390000000,0.368300,146.70000,8.90000000,,,0.970000,,,17.93230000,2002
