LAUNCH Thu 09/24/2026  7:06:42.36 
stored 597/1200  9631s
stored 598/1200  9638s
stored 599/1200  9644s
stored 600/1200  9670s
stored 601/1200  9723s
stored 602/1200  9774s
stored 603/1200  9776s
stored 604/1200  9784s
stored 605/1200  9817s
stored 606/1200  9817s
stored 607/1200  9887s
stored 608/1200  9929s
stored 609/1200  9934s
stored 610/1200  9940s
stored 611/1200  9965s
stored 612/1200  9970s
stored 613/1200  10041s
stored 614/1200  10087s
stored 615/1200  10088s
stored 616/1200  10089s
stored 617/1200  10121s
stored 618/1200  10122s
stored 619/1200  10199s
stored 620/1200  10240s
stored 621/1200  10247s
stored 622/1200  10247s
stored 623/1200  10278s
stored 624/1200  10281s
stored 625/1200  10330s
stored 626/1200  10357s
stored 627/1200  10373s
stored 628/1200  10378s
stored 629/1200  10405s
stored 630/1200  10407s
stored 631/1200  10460s
stored 632/1200  10480s
stored 633/1200  10500s
stored 634/1200  10501s
stored 635/1200  10530s
stored 636/1200  10534s
stored 637/1200  10577s
stored 638/1200  10612s
stored 639/1200  10616s
stored 640/1200  10623s
stored 641/1200  10654s
stored 642/1200  10657s
stored 643/1200  10692s
stored 644/1200  10729s
stored 645/1200  10730s
stored 646/1200  10736s
stored 647/1200  10769s
stored 648/1200  10784s
stored 649/1200  10820s
stored 650/1200  10839s
stored 651/1200  10858s
stored 652/1200  10858s
stored 653/1200  10882s
stored 654/1200  10904s
stored 655/1200  10929s
stored 656/1200  10961s
stored 657/1200  10965s
stored 658/1200  10968s
stored 659/1200  10990s
stored 660/1200  11012s
stored 661/1200  11040s
stored 662/1200  11069s
stored 663/1200  11075s
stored 664/1200  11078s
stored 665/1200  11093s
stored 666/1200  11129s
stored 667/1200  11158s
stored 668/1200  11184s
stored 669/1200  11199s
stored 670/1200  11209s
stored 671/1200  11229s
stored 672/1200  11258s
stored 673/1200  11318s
stored 674/1200  11348s
stored 675/1200  11360s
stored 676/1200  11373s
stored 677/1200  11396s
stored 678/1200  11423s
stored 679/1200  11481s
stored 680/1200  11505s
stored 681/1200  11522s
stored 682/1200  11532s
stored 683/1200  11557s
stored 684/1200  11583s
stored 685/1200  11642s
stored 686/1200  11666s
stored 687/1200  11684s
stored 688/1200  11691s
stored 689/1200  11720s
stored 690/1200  11741s
stored 691/1200  11803s
stored 692/1200  11828s
stored 693/1200  11845s
stored 694/1200  11849s
stored 695/1200  11879s
stored 696/1200  11900s
stored 697/1200  11966s
stored 698/1200  11986s
stored 699/1200  12007s
stored 700/1200  12008s
stored 701/1200  12041s
stored 702/1200  12055s
stored 703/1200  12118s
stored 704/1200  12139s
stored 705/1200  12154s
stored 706/1200  12155s
stored 707/1200  12186s
stored 708/1200  12197s
stored 709/1200  12259s
stored 710/1200  12274s
stored 711/1200  12294s
stored 712/1200  12299s
stored 713/1200  12328s
stored 714/1200  12349s
stored 715/1200  12418s
stored 716/1200  12436s
stored 717/1200  12458s
stored 718/1200  12466s
stored 719/1200  12487s
stored 720/1200  12516s
stored 721/1200  12582s
stored 722/1200  12592s
stored 723/1200  12623s
stored 724/1200  12632s
stored 725/1200  12648s
stored 726/1200  12681s
stored 727/1200  12737s
stored 728/1200  12751s
stored 729/1200  12777s
stored 730/1200  12793s
stored 731/1200  12809s
stored 732/1200  12841s
stored 733/1200  12896s
stored 734/1200  12915s
stored 735/1200  12936s
stored 736/1200  12956s
stored 737/1200  12969s
stored 738/1200  13006s
stored 739/1200  13054s
stored 740/1200  13073s
stored 741/1200  13093s
stored 742/1200  13114s
stored 743/1200  13125s
stored 744/1200  13162s
stored 745/1200  13216s
stored 746/1200  13236s
stored 747/1200  13254s
stored 748/1200  13274s
stored 749/1200  13280s
stored 750/1200  13320s
stored 751/1200  13365s
stored 752/1200  13395s
stored 753/1200  13407s
stored 754/1200  13435s
stored 755/1200  13441s
stored 756/1200  13485s
stored 757/1200  13526s
stored 758/1200  13545s
stored 759/1200  13566s
stored 760/1200  13593s
stored 761/1200  13605s
stored 762/1200  13639s
stored 763/1200  13678s
stored 764/1200  13701s
stored 765/1200  13719s
stored 766/1200  13749s
stored 767/1200  13766s
stored 768/1200  13793s
stored 769/1200  13827s
stored 770/1200  13851s
stored 771/1200  13866s
stored 772/1200  13894s
stored 773/1200  13925s
stored 774/1200  13939s
stored 775/1200  13983s
stored 776/1200  13998s
stored 777/1200  14023s
stored 778/1200  14056s
stored 779/1200  14085s
stored 780/1200  14102s
stored 781/1200  14135s
stored 782/1200  14161s
stored 783/1200  14175s
stored 784/1200  14212s
stored 785/1200  14238s
stored 786/1200  14256s
stored 787/1200  14294s
stored 788/1200  14309s
stored 789/1200  14330s
stored 790/1200  14358s
stored 791/1200  14379s
stored 792/1200  14396s
stored 793/1200  14422s
stored 794/1200  14430s
stored 795/1200  14462s
stored 796/1200  14477s
stored 797/1200  14496s
stored 798/1200  14516s
stored 799/1200  14551s
stored 800/1200  14566s
stored 801/1200  14592s
stored 802/1200  14614s
stored 803/1200  14626s
stored 804/1200  14652s
stored 805/1200  14679s
stored 806/1200  14693s
stored 807/1200  14718s
stored 808/1200  14747s
stored 809/1200  14761s
stored 810/1200  14786s
stored 811/1200  14819s
stored 812/1200  14832s
stored 813/1200  14869s
stored 814/1200  14894s
stored 815/1200  14921s
stored 816/1200  14939s
stored 817/1200  14961s
stored 818/1200  14969s
stored 819/1200  15002s
stored 820/1200  15022s
stored 821/1200  15043s
stored 822/1200  15061s
stored 823/1200  15079s
stored 824/1200  15093s
stored 825/1200  15124s
stored 826/1200  15153s
stored 827/1200  15168s
stored 828/1200  15199s
stored 829/1200  15219s
stored 830/1200  15226s
stored 831/1200  15267s
stored 832/1200  15284s
stored 833/1200  15314s
stored 834/1200  15329s
stored 835/1200  15354s
stored 836/1200  15369s
stored 837/1200  15399s
stored 838/1200  15422s
stored 839/1200  15442s
stored 840/1200  15465s
stored 841/1200  15487s
stored 842/1200  15502s
stored 843/1200  15535s
stored 844/1200  15558s
stored 845/1200  15590s
stored 846/1200  15603s
stored 847/1200  15619s
stored 848/1200  15629s
stored 849/1200  15667s
stored 850/1200  15696s
stored 851/1200  15732s
stored 852/1200  15742s
stored 853/1200  15763s
stored 854/1200  15773s
stored 855/1200  15811s
stored 856/1200  15832s
stored 857/1200  15879s
stored 858/1200  15879s
stored 859/1200  15902s
stored 860/1200  15915s
stored 861/1200  15947s
stored 862/1200  15977s
stored 863/1200  16020s
stored 864/1200  16025s
stored 865/1200  16061s
stored 866/1200  16080s
stored 867/1200  16104s
stored 868/1200  16136s
stored 869/1200  16181s
stored 870/1200  16181s
stored 871/1200  16209s
stored 872/1200  16226s
stored 873/1200  16246s
stored 874/1200  16279s
stored 875/1200  16315s
stored 876/1200  16316s
stored 877/1200  16340s
stored 878/1200  16359s
stored 879/1200  16376s
stored 880/1200  16410s
stored 881/1200  16448s
stored 882/1200  16450s
stored 883/1200  16465s
stored 884/1200  16492s
stored 885/1200  16501s
stored 886/1200  16548s
stored 887/1200  16585s
stored 888/1200  16585s
stored 889/1200  16591s
stored 890/1200  16627s
stored 891/1200  16630s
stored 892/1200  16690s
stored 893/1200  16736s
stored 894/1200  16737s
stored 895/1200  16739s
stored 896/1200  16787s
stored 897/1200  16797s
stored 898/1200  16859s
stored 899/1200  16882s
stored 900/1200  16896s
stored 901/1200  16903s
stored 902/1200  16937s
stored 903/1200  16938s
stored 904/1200  17011s
stored 905/1200  17034s
stored 906/1200  17046s
stored 907/1200  17063s
stored 908/1200  17085s
stored 909/1200  17099s
stored 910/1200  17171s
stored 911/1200  17194s
stored 912/1200  17206s
stored 913/1200  17207s
stored 914/1200  17207s
stored 915/1200  17242s
stored 916/1200  17309s
stored 917/1200  17314s
stored 918/1200  17345s
stored 919/1200  17345s
stored 920/1200  17348s
stored 921/1200  17380s
stored 922/1200  17438s
stored 923/1200  17471s
stored 924/1200  17472s
stored 925/1200  17486s
stored 926/1200  17497s
stored 927/1200  17523s
stored 928/1200  17589s
stored 929/1200  17623s
stored 930/1200  17625s
stored 931/1200  17638s
stored 932/1200  17649s
stored 933/1200  17687s
stored 934/1200  17741s
stored 935/1200  17767s
stored 936/1200  17775s
stored 937/1200  17777s
stored 938/1200  17797s
stored 939/1200  17818s
stored 940/1200  17890s
stored 941/1200  17923s
stored 942/1200  17923s
stored 943/1200  17930s
stored 944/1200  17932s
stored 945/1200  17969s
stored 946/1200  18020s
stored 947/1200  18053s
stored 948/1200  18055s
stored 949/1200  18082s
stored 950/1200  18083s
stored 951/1200  18122s
stored 952/1200  18164s
stored 953/1200  18183s
stored 954/1200  18198s
stored 955/1200  18223s
stored 956/1200  18236s
stored 957/1200  18261s
stored 958/1200  18294s
stored 959/1200  18325s
stored 960/1200  18329s
stored 961/1200  18382s
stored 962/1200  18395s
stored 963/1200  18419s
stored 964/1200  18448s
stored 965/1200  18480s
stored 966/1200  18482s
stored 967/1200  18540s
stored 968/1200  18548s
stored 969/1200  18576s
stored 970/1200  18603s
stored 971/1200  18636s
stored 972/1200  18637s
stored 973/1200  18693s
stored 974/1200  18703s
stored 975/1200  18729s
stored 976/1200  18755s
stored 977/1200  18780s
stored 978/1200  18785s
stored 979/1200  18827s
stored 980/1200  18838s
stored 981/1200  18860s
stored 982/1200  18887s
stored 983/1200  18919s
stored 984/1200  18920s
stored 985/1200  18967s
stored 986/1200  18970s
stored 987/1200  18997s
stored 988/1200  19024s
stored 989/1200  19048s
stored 990/1200  19053s
stored 991/1200  19098s
stored 992/1200  19099s
stored 993/1200  19133s
stored 994/1200  19172s
stored 995/1200  19195s
stored 996/1200  19209s
stored 997/1200  19260s
stored 998/1200  19261s
stored 999/1200  19298s
stored 1000/1200  19336s
stored 1001/1200  19356s
stored 1002/1200  19370s
stored 1003/1200  19413s
stored 1004/1200  19414s
stored 1005/1200  19451s
stored 1006/1200  19493s
stored 1007/1200  19506s
stored 1008/1200  19527s
stored 1009/1200  19567s
stored 1010/1200  19568s
stored 1011/1200  19582s
stored 1012/1200  19648s
stored 1013/1200  19654s
stored 1014/1200  19658s
stored 1015/1200  19706s
stored 1016/1200  19707s
stored 1017/1200  19730s
stored 1018/1200  19784s
stored 1019/1200  19819s
stored 1020/1200  19822s
stored 1021/1200  19847s
stored 1022/1200  19849s
stored 1023/1200  19896s
stored 1024/1200  19947s
stored 1025/1200  19966s
stored 1026/1200  19983s
stored 1027/1200  19989s
stored 1028/1200  19991s
stored 1029/1200  20044s
stored 1030/1200  20124s
stored 1031/1200  20135s
stored 1032/1200  20143s
stored 1033/1200  20149s
stored 1034/1200  20153s
stored 1035/1200  20187s
stored 1036/1200  20282s
stored 1037/1200  20294s
stored 1038/1200  20296s
stored 1039/1200  20300s
stored 1040/1200  20306s
stored 1041/1200  20345s
stored 1042/1200  20423s
stored 1043/1200  20435s
stored 1044/1200  20446s
stored 1045/1200  20460s
stored 1046/1200  20466s
stored 1047/1200  20487s
stored 1048/1200  20563s
stored 1049/1200  20578s
stored 1050/1200  20599s
stored 1051/1200  20604s
stored 1052/1200  20610s
stored 1053/1200  20636s
stored 1054/1200  20718s
stored 1055/1200  20735s
stored 1056/1200  20753s
stored 1057/1200  20757s
stored 1058/1200  20760s
stored 1059/1200  20789s
stored 1060/1200  20883s
stored 1061/1200  20898s
stored 1062/1200  20899s
stored 1063/1200  20902s
stored 1064/1200  20917s
stored 1065/1200  20930s
stored 1066/1200  21033s
stored 1067/1200  21041s
stored 1068/1200  21047s
stored 1069/1200  21053s
stored 1070/1200  21066s
stored 1071/1200  21082s
stored 1072/1200  21175s
stored 1073/1200  21184s
stored 1074/1200  21184s
stored 1075/1200  21190s
stored 1076/1200  21202s
stored 1077/1200  21229s
stored 1078/1200  21315s
stored 1079/1200  21328s
stored 1080/1200  21330s
stored 1081/1200  21339s
stored 1082/1200  21340s
stored 1083/1200  21364s
stored 1084/1200  21451s
stored 1085/1200  21456s
stored 1086/1200  21461s
stored 1087/1200  21469s
stored 1088/1200  21471s
stored 1089/1200  21492s
stored 1090/1200  21576s
stored 1091/1200  21586s
stored 1092/1200  21590s
stored 1093/1200  21595s
stored 1094/1200  21598s
stored 1095/1200  21617s
stored 1096/1200  21719s
stored 1097/1200  21728s
stored 1098/1200  21740s
stored 1099/1200  21754s
stored 1100/1200  21758s
stored 1101/1200  21760s
stored 1102/1200  21860s
stored 1103/1200  21870s
stored 1104/1200  21890s
stored 1105/1200  21910s
stored 1106/1200  21916s
stored 1107/1200  21920s
stored 1108/1200  22017s
stored 1109/1200  22028s
stored 1110/1200  22051s
stored 1111/1200  22067s
stored 1112/1200  22069s
stored 1113/1200  22077s
stored 1114/1200  22175s
stored 1115/1200  22189s
stored 1116/1200  22212s
stored 1117/1200  22227s
stored 1118/1200  22230s
stored 1119/1200  22245s
stored 1120/1200  22341s
stored 1121/1200  22353s
stored 1122/1200  22369s
stored 1123/1200  22388s
stored 1124/1200  22390s
stored 1125/1200  22402s
stored 1126/1200  22502s
stored 1127/1200  22515s
stored 1128/1200  22531s
stored 1129/1200  22547s
stored 1130/1200  22548s
stored 1131/1200  22567s
stored 1132/1200  22660s
stored 1133/1200  22675s
stored 1134/1200  22694s
stored 1135/1200  22707s
stored 1136/1200  22707s
stored 1137/1200  22730s
stored 1138/1200  22820s
stored 1139/1200  22834s
stored 1140/1200  22850s
stored 1141/1200  22865s
stored 1142/1200  22867s
stored 1143/1200  22887s
stored 1144/1200  22975s
stored 1145/1200  22989s
stored 1146/1200  22995s
stored 1147/1200  23019s
stored 1148/1200  23019s
stored 1149/1200  23044s
stored 1150/1200  23129s
stored 1151/1200  23143s
stored 1152/1200  23144s
stored 1153/1200  23167s
stored 1154/1200  23168s
stored 1155/1200  23183s
stored 1156/1200  23262s
stored 1157/1200  23277s
stored 1158/1200  23284s
stored 1159/1200  23298s
stored 1160/1200  23299s
stored 1161/1200  23313s
stored 1162/1200  23390s
stored 1163/1200  23404s
stored 1164/1200  23412s
