L 8 states 119 targets 1828
L8_prod2_a4_b4_uA3_uB4 N 4 {'U': 1.5, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': 0.25, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1074s
L8_prod2_a4_b4_uA4_uB1 N 4 {'U': 2.25, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -0.125, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1074s
L8_prod2_a4_b4_uA4_uB2 N 6 {'U': 3.833, 'G': 2.667, 'GH': 1.333, 'W': 2.667, 'M': 2.667, 'O': 2.0, 'RH': 1.833} | rel vs G: {'U': -0.438, 'GH': 0.5, 'W': 0.0, 'M': 0.0, 'O': 0.25, 'RH': 0.312} | RH O-calls 6 | t=1074s
L8_prod2_a4_b4_uA4_uB3 N 4 {'U': 3.0, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -0.5, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1074s
L8_prod2_a5_b3_uA0_uB1 N 3 {'U': 1.667, 'G': 1.667, 'GH': 1.667, 'W': 1.667, 'M': 1.667, 'O': 1.667, 'RH': 1.667} | rel vs G: {'U': 0.0, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1074s
L8_prod2_a5_b3_uA0_uB2 N 3 {'U': 2.0, 'G': 1.667, 'GH': 1.667, 'W': 1.667, 'M': 1.667, 'O': 1.667, 'RH': 1.667} | rel vs G: {'U': -0.2, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1074s
L8_prod2_a5_b3_uA1_uB0 N 5 {'U': 2.8, 'G': 2.4, 'GH': 2.4, 'W': 2.4, 'M': 2.4, 'O': 2.4, 'RH': 2.4} | rel vs G: {'U': -0.167, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1075s
L8_prod2_a5_b3_uA1_uB1 N 15 {'U': 3.933, 'G': 2.667, 'GH': 2.867, 'W': 2.933, 'M': 2.933, 'O': 2.733, 'RH': 2.667} | rel vs G: {'U': -0.475, 'GH': -0.075, 'W': -0.1, 'M': -0.1, 'O': -0.025, 'RH': 0.0} | RH O-calls 11 | t=1076s
L8_prod2_a5_b3_uA1_uB2 N 15 {'U': 4.667, 'G': 3.2, 'GH': 2.8, 'W': 3.067, 'M': 2.933, 'O': 2.733, 'RH': 3.067} | rel vs G: {'U': -0.458, 'GH': 0.125, 'W': 0.042, 'M': 0.083, 'O': 0.146, 'RH': 0.042} | RH O-calls 8 | t=1080s
L8_prod2_a5_b3_uA1_uB3 N 5 {'U': 3.6, 'G': 2.4, 'GH': 2.4, 'W': 2.4, 'M': 2.4, 'O': 2.4, 'RH': 2.4} | rel vs G: {'U': -0.5, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1081s
